Recording,TP,FN,FP,Se,P+
100.tfrecord,2272,1,0,0.9996,1
103.tfrecord,2084,0,0,1,1
105.tfrecord,2519,53,27,0.9794,0.9894
111.tfrecord,2121,3,4,0.9986,0.9981
113.tfrecord,1794,1,0,0.9994,1
117.tfrecord,1534,1,0,0.9993,1
121.tfrecord,1861,2,0,0.9989,1
123.tfrecord,1518,0,0,1,1
200.tfrecord,2597,4,1,0.9985,0.9996
202.tfrecord,2135,1,0,0.9995,1
210.tfrecord,2643,7,2,0.9974,0.9992
212.tfrecord,2747,1,0,0.9996,1
213.tfrecord,3249,2,0,0.9994,1
214.tfrecord,2258,4,0,0.9982,1
219.tfrecord,2154,0,0,1,1
221.tfrecord,2426,1,0,0.9996,1
222.tfrecord,2473,10,3,0.996,0.9988
228.tfrecord,2030,23,14,0.9888,0.9932
231.tfrecord,1570,1,0,0.9994,1
232.tfrecord,1780,0,8,1,0.9955
233.tfrecord,3077,2,0,0.9994,1
234.tfrecord,2753,0,0,1,1
total,49595,117,59,0.9978,0.9988
